Location,lat,lon,CowTagID,Tide,Day_Night,Season,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,NNP_umolL,Ammonia_umolL
Varari,-17.54002498,-149.900106,V6,Low,Night,Dry,36.31,28.52,2337.707262,8.059424218921583,0.25,5,0.92,3.68,0.37
Varari,-17.54002498,-149.900106,V6,Low,Day,Dry,36.51,27.31,2365.266839,8.019453650498878,0.21,2.47,0.57,2.714285714285714,0.43
Varari,-17.54004803,-149.899985,V7,High,Day,Dry,36.42,27.76,2344.001217,8.046785364253866,0.21,2.84,0.57,2.714285714285714,0.36
Varari,-17.54004803,-149.899985,V7,High,Night,Dry,NA,NA,NA,NA,0.23,1.01,0.54,2.347826086956522,0.31
Varari,-17.54004803,-149.899985,V7,Low,Night,Dry,36.26,28.34,2337.447513,8.077050143338493,0.25,4,0.83,3.32,0.46
Varari,-17.54004803,-149.899985,V7,Low,Day,Dry,36.48,27.08,2371.959181,8.01812400991907,0.22,2.47,0.92,4.181818181818182,0.7
Varari,-17.54014903,-149.899896,V8,High,Day,Dry,36.45,27.7,2330.074396,8.055299748971068,0.21,1.56,0.49,2.3333333333333335,0.26
Varari,-17.54014903,-149.899896,V8,High,Night,Dry,36.43,27.03,2321.38849,8.050802683943452,0.19,0.77,0.46,2.4210526315789473,0.2
Varari,-17.54014903,-149.899896,V8,Low,Night,Dry,36.04,28.31,2351.074413,8.054498219191254,0.26,8.28,1.34,5.153846153846154,0.42
Varari,-17.54014903,-149.899896,V8,Low,Day,Dry,36.56,27.2,2363.226902,7.966032784507494,0.19,1.27,0.54,2.8421052631578947,0.54
Varari,-17.540245,-149.899765,V9,High,Day,Dry,36.4,27.83,2348.711385,8.042205905527108,0.22,1.01,0.53,2.409090909090909,0.21
Varari,-17.540245,-149.899765,V9,High,Night,Dry,36.45,27.16,2318.333575,8.045853402513421,0.22,0.97,0.49,2.227272727272727,0.18
Varari,-17.540245,-149.899765,V9,Low,Night,Dry,36.47,28.44,2357.074012,8.069159867538033,0.24,2.37,0.66,2.7500000000000004,0.36
Varari,-17.540245,-149.899765,V9,Low,Day,Dry,36.38,27.34,2372.370084,8.034552341814091,0.22,1.09,0.55,2.5,0.45
Varari,-17.54030501,-149.899788,V10,High,Day,Dry,36.46,27.61,2344.595953,8.046439224613291,0.21,1.01,0.46,2.1904761904761907,0.26
Varari,-17.54030501,-149.899788,V10,High,Night,Dry,36.36,26.94,2303.174091,8.042455982102792,0.22,0.88,0.45,2.0454545454545454,0.3
Varari,-17.54030501,-149.899788,V10,Low,Night,Dry,36.33,28.21,2320.743508,8.073040793958357,0.21,3.66,0.65,3.0952380952380953,0.26
Varari,-17.54030501,-149.899788,V10,Low,Day,Dry,36.28,27.2,2363.270608,8.037549314461437,0.22,1.56,0.62,2.8181818181818183,0.43
Varari,-17.54019303,-149.900068,V11,High,Day,Dry,36.43,27.68,2308.380986,8.05364284248099,0.21,1.13,0.51,2.428571428571429,0.36
Varari,-17.54019303,-149.900068,V11,High,Night,Dry,36.45,26.97,2369.654389,8.039977710288579,0.21,0.66,0.34,1.6190476190476193,1.02
Varari,-17.54019303,-149.900068,V11,Low,Night,Dry,36.12,28.25,2348.0235,8.052527751697522,0.23,7.61,1.11,4.826086956521739,0.39
Varari,-17.54019303,-149.900068,V11,Low,Day,Dry,36.53,27.24,2360.976262,8.030577582844687,0.2,1.04,0.5,2.5,0.42
Varari,-17.54030996,-149.900112,V12,High,Day,Dry,36.44,27.75,2359.450571,8.050177363976998,0.22,0.88,0.44,2,0.26
Varari,-17.54030996,-149.900112,V12,High,Night,Dry,36.38,27.02,2347.556318,8.035014375182898,0.24,0.85,0.5,2.0833333333333335,0.51
Varari,-17.54030996,-149.900112,V12,Low,Night,Dry,36.28,28.35,2343.323603,8.058605818414089,0.23,4.18,0.75,3.260869565217391,0.26
Varari,-17.54030996,-149.900112,V12,Low,Day,Dry,36.28,27.31,2364.360097,8.023392074413712,0.19,1.61,0.58,3.052631578947368,0.76
Varari,-17.540749,-149.899133,V13,High,Day,Dry,36.43,27.66,2353.16399,8.056779486098405,0.22,1.63,0.53,2.409090909090909,0.35
Varari,-17.540749,-149.899133,V13,Low,Night,Dry,36.52,28.36,2332.892346,8.070331980923482,0.24,1.89,0.59,2.4583333333333335,0.38
Varari,-17.540749,-149.899133,V13,Low,Day,Dry,36.57,27.22,2368.647558,8.024186752224807,0.21,1.07,0.55,2.6190476190476195,0.49
Varari,-17.54039696,-149.899396,V14,High,Day,Dry,36.38,27.64,2335.097209,8.030433793873732,0.22,3.07,0.47,2.1363636363636362,0.45
Varari,-17.54039696,-149.899396,V14,High,Night,Dry,36.29,26.97,2307.005078,8.049601153134208,0.22,1.45,0.47,2.1363636363636362,0.32
Varari,-17.54039696,-149.899396,V14,Low,Night,Dry,36.28,28.32,2316.281087,8.093790972368412,0.23,3.66,0.6,2.6086956521739126,0.69
Varari,-17.54039696,-149.899396,V14,Low,Day,Dry,36.35,27.05,2382.973932,8.023751142472964,0.22,2.33,0.44,2,0.34
Varari,-17.54014299,-149.900183,V15,High,Day,Dry,36.43,27.59,2315.246435,8.061433651634532,0.22,1.22,0.53,2.409090909090909,0.4
Varari,-17.54014299,-149.900183,V15,High,Night,Dry,36.44,26.87,2313.6248650000002,7.982300802952059,0.18,0.65,0.4,2.2222222222222223,0.47
Varari,-17.54014299,-149.900183,V15,Low,Night,Dry,36.15,28.17,2340.611163,8.062723405526853,0.28,7.61,1.08,3.857142857142857,0.26
Varari,-17.54014299,-149.900183,V15,Low,Day,Dry,36.45,27.11,2376.479103,8.029064040897387,0.22,1.18,0.39,1.7727272727272727,0.34
Varari,-17.54029797,-149.900492,V16,High,Day,Dry,36.43,27.64,2363.988112,8.05132875496369,0.21,1.37,0.47,2.238095238095238,0.3
Varari,-17.54029797,-149.900492,V16,High,Night,Dry,36.49,26.91,2321.911981,8.032938945702384,0.19,0.66,0.32,1.6842105263157894,0.86
Varari,-17.54029797,-149.900492,V16,Low,Night,Dry,36.4,28.16,2340.260957,8.088842451372694,0.21,1.25,0.44,2.0952380952380953,0.36
Varari,-17.54029797,-149.900492,V16,Low,Day,Dry,36.59,27.21,2362.729916,8.047359459915647,0.21,1,0.32,1.523809523809524,0.31
Varari,-17.54031901,-149.899572,V17,High,Day,Dry,36.28,27.61,2361.397676,8.04095072138644,0.21,2.7,0.5,2.380952380952381,0.32
Varari,-17.54031901,-149.899572,V17,High,Night,Dry,36.02,26.98,2314.889032,8.040525921742926,0.21,1.25,0.51,2.428571428571429,0.33
Varari,-17.54031901,-149.899572,V17,Low,Night,Dry,37.05,28.31,2355.897908,8.075424710541673,0.29,7.39,0.99,3.4137931034482762,0.3
Varari,-17.54031901,-149.899572,V17,Low,Day,Dry,36.46,27.05,2349.779191,8.01670253451603,0.22,2.06,0.41,1.8636363636363635,0.24
Varari,-17.54019697,-149.899906,V18,High,Day,Dry,36.46,27.66,2382.01882,8.047992110464321,0.22,1.28,0.51,2.3181818181818183,0.32
Varari,-17.54019697,-149.899906,V18,High,Night,Dry,36.47,27.01,2320.524277,8.042210957050425,0.21,0.88,0.47,2.238095238095238,0.32
Varari,-17.54019697,-149.899906,V18,Low,Night,Dry,36.13,28.3,2358.4544,8.06491147928196,0.31,7.67,1.09,3.516129032258065,0.48
Varari,-17.54019697,-149.899906,V18,Low,Day,Dry,36.57,27.23,2365.935001,8.026428758568187,0.22,1.33,0.31,1.4090909090909092,0.2
Varari,-17.54050802,-149.89978,V19,High,Day,Dry,36.43,27.55,2359.378322,8.050684246625515,0.22,1.21,0.47,2.1363636363636362,0.34
